Herb name in Pinyin,Herb Property,Herb Meridian Tropism,Herb Flavor
KUN BU,Cold,"Liver meridian,Kidney meridian,Stomach meridian",Salty
LA JIAO,Hot,"Spleen meridian,Heart meridian",Pungent
LAI FU ZI,Mildly cold,"Lung meridian,Liver meridian,Stomach meridian","Sweet,Bitter"
LANG DU,Even,"Liver meridian,Spleen meridian",Pungent
LAO GUAN CAO,Even,"Liver meridian,Spleen meridian,Kidney meridian","Bitter,Pungent"
LEI GONG TENG,Cool,"Liver meridian,Triple burner meridian,Kidney meridianOthers meridian","Bitter,Pungent"
LIAN QIAN CAO,Mildly cold,"Bladder meridian,Liver meridian,Kidney meridian","Mildly bitter,Pungent"
LIAN QIAO,Mildly cold,"Lung meridian,Small intestine meridian,Heart meridianOthers meridian",Bitter
LIAN ZI,Even,"Spleen meridian,Kidney meridian,Heart meridian","Sweet,Astringent"
LIAN ZI XIN,Cold,"Kidney meridian,Heart meridian",Bitter
LIANG MIAN ZHEN,Even,"Liver meridian, Stomach meridian","Bitter,Pungent"
LIAO DA QING YE,Cold,"Stomach meridian,Heart meridian",Bitter
LING ZHI,Even,"Lung meridian,Liver meridian,Kidney meridian,Heart meridian",Sweet
LONG DAN,Cold,"Gallbladder meridian,Liver meridian",Bitter
LONG KUI,Cold,"Bladder meridian,Liver meridian,Kidney meridian","Bitter,Mildly sweet"
LONG YAN ROU,Warm,Heart and spleen meridiansOthers meridian,Sweet
LOU LU,Cold,Stomach meridian,Bitter
LU GEN,Cold,"Bladder meridian,Lung meridian,Stomach meridian",Sweet
LU HUI,Cold,"Large intestine meridian,Liver meridian",Bitter
LU XIAN CAO,N/A,N/AOthers meridian,N/A
LU LU TONG,Even,"Bladder meridian,Liver meridian",Bitter
LUO BU MA YE,Cool,Liver meridian,"Sweet,Bitter"
LUO HAN GUO,Cool,"Spleen meridian,Spleen meridian",Sweet
LUO SHI TENG,Mildly cold,"Liver meridian,Kidney meridian,Heart meridian","Bitter,Pungent"
MA HUANG,Warm,"Bladder meridian,Lung meridian","Mildly bitter,Pungent"
MA HUANG GEN,Even,Lung meridian,"Sweet,Mildly astringent"
MA BIAN CAO,Cold,"Liver meridian,Spleen meridian","Bitter,Pungent"
MA CHI XIAN,Cold,"Large intestine meridian,Liver meridian",Sour
MA DOU LING,Mildly cold,"Large intestine meridian,Lung meridian",Bitter
MA QIAN ZI,Cold,"Liver meridian,Spleen meridian",Bitter
MAI DONG,Mildly cold,"Lung meridian,Stomach meridian,Heart meridian","Sweet,Mildly bitter"
MAI YA,Even,"Spleen meridian,Stomach meridian",Sweet
MAN SHAN HONG,Cold,Lung meridian,"Bitter,Pungent"
MAN JING ZI,Mildly cold,"Bladder meridian,Liver meridian,Stomach meridian","Bitter,Pungent"
MO YAO,Even,"Liver meridian,Spleen meridian,Heart meridian","Bitter,Pungent"
MEI GUI HUA,Warm,"Liver meridian,Spleen meridian","Sweet,Mildly bitter"
MI MENG HUA,Mildly cold,Liver meridian,Sweet
MIAN BI XIE,Even,"Kidney meridian,Stomach meridian",Bitter
MING DANG SHEN,Mildly cold,"Lung meridian,Liver meridian,Spleen meridian","Sweet,Mildly bitter"
MO HAN LIAN,Cool,"Kidney meridian, Liver meridian","Sweet,Sour"
MU DAN PI,Mildly cold,"Liver meridian,Kidney meridian,Heart meridian","Bitter,Pungent"
MU JING YE,Even,Lung meridian,"Mildly bitter,Pungent"
MU BIE ZI,Cool,"Liver meridian,Spleen meridian,Stomach meridian","Bitter,Mildly sweet"
MU GUA,Warm,"Liver meridian,Spleen meridian",Sour
MU HU DIE,Cool,"Liver meridian,Lung meridian,Stomach meridian","Sweet,Bitter"
MU TONG,Cold,"Bladder meridian,Small intestine meridian,Heart meridianOthers meridian",Bitter
MU XIANG,Warm,"Large intestine meridian,Gallbladder meridian,Spleen meridian,Triple burner meridian,Stomach meridianOthers meridian","Bitter,Pungent"
MU ZEI,Even,"Lung meridian,Liver meridian","Sweet,Bitter"
NAN HE SHI,Even,"Spleen meridian,Stomach meridian","Bitter,Pungent"
NAN WU WEI ZI,Warm,"Lung meridian,Kidney meridian,Heart meridian","Sweet,Sour"
NAO YANG HUA,Warm,Liver meridian,Pungent
