Unnamed_0,molecular_weight, alogp, logd, molecular_solubility, molecular_volume, molecular_surface_area, molecular_polar_surface_area, num_rotatable_bonds, num_h_acceptors, num_h_donors, adm_absorption_level, adm_bbb_level, adm_bbb, adm_solubility, adm_solubility_level, adm_hepatotoxicity, adm_hepatotoxicity_probability, adm_cyp2d6, adm_cyp2d6_probability, adm_ppb_level, druglikeness_weight,isGreatCold,isCold,isMildlyCold,isCool,isEven,isWarm,isMildlyWarm,isHot,isGreatHot,isLiverMeridian,isSpleenMeridian,isKidneyMeridian,isHeartMeridian,isLargeIntestineMeridian,isStomachMeridian,isLungMeridian,isGallbladderMeridian,isTripleBurnerMeridian,isBladderMeridian,isOthersMeridian,isSmallIntestineMeridian,isPericardiumMeridian,isBitter,isPungent,isSweet,isAstringent,isMildlyBitter,isSalty,isMildlySweet,isSour
705,400.37716,-0.8859999999999999,-0.888,-1.921,249.01,383.42,166.14,9.0,10.0,6.0,3.0,4.0,0.0034031952342269208,-0.63,4.0,0.0,0.4370000000000001,0.0,0.217,0.0,0.226,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
706,883.02709,0.726,-0.7390000000000001,-6.274,621.17,830.13,260.58,12.0,17.0,8.0,3.0,4.0,0.0034031952342269208,-2.5340000000000003,3.0,1.0,0.7609999999999999,0.0,0.128,0.0,0.099,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
707,399.437,2.044,2.044,-4.695,267.88,399.36,83.09,5.0,6.0,1.0,0.0,3.0,-0.838,-3.82,3.0,1.0,0.887,0.0,0.435,2.0,0.816,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
708,270.2369,2.568,2.028,-2.258,166.35,248.12,94.83,0.0,5.0,3.0,0.0,3.0,-0.8959999999999999,-3.312,3.0,1.0,0.913,1.0,0.584,2.0,0.6829999999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
709,901.04237,-0.5589999999999999,-0.5589999999999999,-5.638,667.13,858.67,291.81,14.0,18.0,10.0,3.0,4.0,0.0034031952342269208,-2.802,3.0,1.0,0.807,0.0,0.267,0.0,0.098,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1
710,1192.34001,-2.574,-2.934,-4.488,877.39,1097.44,398.99,14.0,26.0,15.0,3.0,4.0,0.0034031952342269208,-7.769,1.0,1.0,0.503,0.0,0.128,0.0,0.079,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
711,400.37716,-0.8859999999999999,-0.888,-1.921,249.01,383.42,166.14,9.0,10.0,6.0,3.0,4.0,0.0034031952342269208,-0.63,4.0,0.0,0.4370000000000001,0.0,0.217,0.0,0.226,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
712,400.37716,-0.8859999999999999,-0.888,-1.835,249.01,383.4,166.14,9.0,10.0,6.0,3.0,4.0,0.0034031952342269208,-0.708,4.0,0.0,0.377,0.0,0.237,0.0,0.226,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
713,884.0582099999998,0.015,-1.198,-5.96,660.27,819.84,258.7,8.0,17.0,10.0,3.0,4.0,0.0034031952342269208,-5.381,2.0,1.0,0.735,0.0,0.128,0.0,0.14400000000000002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
714,757.6666299999998,-1.68,-1.759,-2.012,463.39,681.96,329.67,9.0,19.0,13.0,3.0,4.0,0.0034031952342269208,-8.793,0.0,1.0,0.94,0.0,0.198,0.0,0.086,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
715,290.39724,3.608,3.48,-4.799,213.34,308.62,54.37,3.0,3.0,1.0,0.0,1.0,0.084,-4.371,2.0,1.0,0.7609999999999999,0.0,0.336,0.0,0.638,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
716,292.41312,3.631,3.503,-4.58,219.51,312.72,54.37,4.0,3.0,1.0,0.0,1.0,0.092,-4.296,2.0,0.0,0.35700000000000004,0.0,0.376,0.0,0.805,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
717,306.48276,3.763,3.763,-5.502999999999999,225.0,332.17,40.46,1.0,2.0,2.0,0.0,1.0,0.35,-4.277,2.0,0.0,0.152,0.0,0.386,0.0,0.7240000000000001,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
718,362.4599,4.428,4.3,-4.862,258.62,367.02,72.83,5.0,5.0,1.0,0.0,1.0,0.055,-5.358,2.0,0.0,0.423,0.0,0.316,1.0,0.579,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
719,346.4605,4.585,4.585,-5.205,253.13,354.75,52.6,5.0,4.0,0.0,0.0,1.0,0.433,-5.803,2.0,1.0,0.5760000000000001,0.0,0.396,1.0,0.54,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
